date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:51:55	1027385/1027385	---M--	200	added ('OK')	image/png	etag:%22fad39-66432c81-d9ee0a25bfb09565;;;%22	https://fortunearchitects.github.io/images/sucess/test%203.png	C:/Kaustubh/aa/fortunearchitects.github.io/images/sucess/test%203.png	(from https://fortunearchitects.github.io/)
23:51:55	631905/631905	---M--	200	added ('OK')	image/jpeg	etag:%229a461-66432c81-1ee2766ff7c24ba8;;;%22	https://fortunearchitects.github.io/images/sucess/test%204.jpeg	C:/Kaustubh/aa/fortunearchitects.github.io/images/sucess/test%204.jpg	(from https://fortunearchitects.github.io/)
23:51:55	89475/89475	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215d83-66432c83-e5e4c84110bc9460;gz%22	https://fortunearchitects.github.io/plugins/jquery/jquery.min.js	C:/Kaustubh/aa/fortunearchitects.github.io/plugins/jquery/jquery.min.js	(from https://fortunearchitects.github.io/)
23:51:56	63198/63198	---M-Z	200	added ('OK')	application/x-javascript	etag:%22f6de-66432c83-f8590749d1244816;gz%22	https://fortunearchitects.github.io/plugins/bootstrap/bootstrap.min.js	C:/Kaustubh/aa/fortunearchitects.github.io/plugins/bootstrap/bootstrap.min.js	(from https://fortunearchitects.github.io/)
23:51:56	42863/42863	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a76f-66432c83-17ad68c6aecf3a6;gz%22	https://fortunearchitects.github.io/plugins/slick/slick.min.js	C:/Kaustubh/aa/fortunearchitects.github.io/plugins/slick/slick.min.js	(from https://fortunearchitects.github.io/)
23:51:56	20216/20216	---M-Z	200	added ('OK')	application/x-javascript	etag:%224ef8-66432c83-d3944c321b554e74;gz%22	https://fortunearchitects.github.io/plugins/magnific-popup/jquery.magnific-popup.min.js	C:/Kaustubh/aa/fortunearchitects.github.io/plugins/magnific-popup/jquery.magnific-popup.min.js	(from https://fortunearchitects.github.io/)
23:51:56	19832/19832	---M-Z	200	added ('OK')	application/x-javascript	etag:%224d78-66432c83-d82d4c25d39636d1;gz%22	https://fortunearchitects.github.io/plugins/shuffle/shuffle.min.js	C:/Kaustubh/aa/fortunearchitects.github.io/plugins/shuffle/shuffle.min.js	(from https://fortunearchitects.github.io/)
23:51:56	5550/5550	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215ae-66432c83-78e48fe7a5040837;gz%22	https://fortunearchitects.github.io/plugins/SyoTimer/jquery.syotimer.min.js	C:/Kaustubh/aa/fortunearchitects.github.io/plugins/SyoTimer/jquery.syotimer.min.js	(from https://fortunearchitects.github.io/)
23:51:57	3237/3237	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ca5-66432c83-5bf755420625e022;gz%22	https://fortunearchitects.github.io/plugins/google-map/map.js	C:/Kaustubh/aa/fortunearchitects.github.io/plugins/google-map/map.js	(from https://fortunearchitects.github.io/)
23:51:57	3187/3187	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c73-66432c81-ea615cef25d07e57;gz%22	https://fortunearchitects.github.io/js/script.js	C:/Kaustubh/aa/fortunearchitects.github.io/js/script.js	(from https://fortunearchitects.github.io/)
